panel,Q2,y,yerr
GMn,2.0455,1.0,0.021982948
GMn,2.197,0.9919,0.022167769
GMn,2.3485,1.0016,0.022617692
GMn,2.5,1.0212,0.025040168
GMn,2.6515,1.0344,0.024507958
GMn,2.803,1.0012,0.023847222
GMn,2.9546,0.9954,0.024337009
GMn,3.1061,1.0019,0.025350345
GMn,3.2576,0.9779,0.025242028
GMn,3.4091,0.9967,0.026378779
GMn,3.5606,0.9918,0.025740241
GMn,3.7121,0.9742,0.027130979
GMn,3.8636,0.9791,0.029206164
GMn,4.0152,1.0285,0.030968371
GMn,4.1667,0.9193,0.031484123
GMn,4.3182,0.9079,0.033961154
GMn,4.4697,0.9903,0.042177719
GMn,4.6212,1.1074,0.099885985
GMn,4.7727,1.0921,0.13095053
