graph,panel,set_id,dataset_label,type,hidden,Q2,y,yerr
1,GMp,18,Andivahis,xydy,False,6.0,0.987,0.012
1,GMp,18,Andivahis,xydy,False,7.0,0.959,0.016
1,GMp,18,Andivahis,xydy,False,8.83,0.916,0.023
1,GMp,19,Christy,xydy,False,0.65,0.968,0.032
1,GMp,19,Christy,xydy,False,0.91,1.028,0.019
1,GMp,19,Christy,xydy,False,2.2,1.05,0.016
1,GMp,19,Christy,xydy,False,2.75,1.055,0.01
1,GMp,19,Christy,xydy,False,3.75,1.044,0.015
1,GMp,19,Christy,xydy,False,4.2,1.012,0.012
1,GMp,19,Christy,xydy,False,5.2,1.007,0.032
1,GMp,20,Qattan,xydy,False,2.64,1.053,0.015
1,GMp,20,Qattan,xydy,False,3.2,1.048,0.015
1,GMp,20,Qattan,xydy,False,4.1,1.031,0.015
2,GEn,10,Bermuth,xydy,False,0.67,0.18284658,0.026822536
2,GEn,11,Schiavilla,xydy,False,0.0097,8.2200848e-05,0.0052608542
2,GEn,11,Schiavilla,xydy,False,0.0389,0.022908007,0.015976638
2,GEn,11,Schiavilla,xydy,False,0.0875,0.054302141,0.030002437
2,GEn,11,Schiavilla,xydy,False,0.156,0.091226547,0.042280797
2,GEn,11,Schiavilla,xydy,False,0.243,0.10901751,0.044194341
2,GEn,11,Schiavilla,xydy,False,0.35,0.13186308,0.034748908
2,GEn,11,Schiavilla,xydy,False,0.477,0.1484714,0.025602373
2,GEn,11,Schiavilla,xydy,False,0.623,0.16898247,0.026859541
2,GEn,11,Schiavilla,xydy,False,0.788,0.21518579,0.037793284
2,GEn,11,Schiavilla,xydy,False,0.973,0.28274321,0.049277781
2,GEn,11,Schiavilla,xydy,False,1.177,0.31016341,0.067669447
2,GEn,11,Schiavilla,xydy,False,1.401,0.288631,0.10139656
2,GEn,11,Schiavilla,xydy,False,1.644,0.33373212,0.1370764
2,GEn,12,Zhu,xydy,False,0.495,0.13342154,0.017743452
2,GEn,13,Becker,xydy,False,0.35,0.12192208,0.0055723072
2,GEn,14,Herberg,xydy,False,0.15,0.07057084,0.0095366
2,GEn,15,Ostrick,xydy,False,0.34,0.13362974,0.015090756
2,GEn,16,Passchier,xydy,False,0.21,0.11081611,0.025185479
2,GEn,17,Rohe,xydy,False,0.67,0.19644674,0.041556042
2,GEn,18,Eden,xydy,False,0.255,0.12192194,0.066502877
2,GEn,19,Meyerhoff,xydy,False,0.31,0.072235669,0.024766515
2,GEn,20,Madey,xydy,False,0.447,0.14605375,0.015933137
2,GEn,20,Madey,xydy,False,1.132,0.26519101,0.019519135
2,GEn,20,Madey,xydy,False,1.45,0.38039311,0.032393574
2,GEn,21,Warren,xydy,False,0.5,0.1527706,0.0095844676
2,GEn,21,Warren,xydy,False,1.0,0.26334883,0.031323429
2,GEn,22,Riordan,xydy,False,1.72,0.27644445,0.030455744
2,GEn,22,Riordan,xydy,False,2.48,0.41988274,0.048448009
2,GEn,22,Riordan,xydy,False,3.41,0.49498848,0.067345371
2,GEn,23,Geis,xydy,False,0.142,0.04975697,0.007094063
2,GEn,23,Geis,xydy,False,0.203,0.068689325,0.0083020191
2,GEn,23,Geis,xydy,False,0.291,0.10174256,0.012643156
2,GEn,23,Geis,xydy,False,0.415,0.1179608,0.018333788
2,GEn,24,G2.S24,xydy,False,0.142,0.04975697,0.0030543882
2,GEn,24,G2.S24,xydy,False,0.203,0.068689325,0.0038545089
2,GEn,24,G2.S24,xydy,False,0.291,0.10174256,0.0045794107
2,GEn,24,G2.S24,xydy,False,0.415,0.1179608,0.0052382252
3,GMn,0,Bruins,xydy,False,0.125,1.02,0.018
3,GMn,0,Bruins,xydy,False,0.255,1.076,0.019
3,GMn,0,Bruins,xydy,False,0.417,1.135,0.033
3,GMn,0,Bruins,xydy,False,0.605,1.104,0.014
3,GMn,1,Anklin-98,xydy,False,0.111,0.957,0.016
3,GMn,2,Gao,xydy,False,0.19,0.931,0.051
3,GMn,3,Xu-2000,xydy,False,0.1,0.962,0.014
3,GMn,3,Xu-2000,xydy,False,0.2,0.959,0.013
3,GMn,4,Xu-2003,xydy,False,0.3,0.972,0.014
3,GMn,4,Xu-2003,xydy,False,0.4,0.984,0.011
3,GMn,4,Xu-2003,xydy,False,0.5,0.984,0.009
3,GMn,4,Xu-2003,xydy,False,0.6,1.01,0.013
3,GMn,5,Kubon,xydy,False,0.071,0.99,0.013
3,GMn,5,Kubon,xydy,False,0.125,0.967,0.013
3,GMn,5,Kubon,xydy,False,0.359,0.989,0.014
3,GMn,5,Kubon,xydy,False,0.894,1.062,0.017
3,GMn,6,Anderson,xydy,False,0.1,0.9481,0.0265
3,GMn,6,Anderson,xydy,False,0.193,0.9511,0.0266
3,GMn,6,Anderson,xydy,False,0.3,0.9511,0.0555
3,GMn,6,Anderson,xydy,False,0.4,0.9577,0.031
3,GMn,6,Anderson,xydy,False,0.5,0.9694,0.0271
3,GMn,6,Anderson,xydy,False,0.6,0.9939,0.0288
3,GMn,7,Lachniet,xydy,False,0.9848,0.9953,0.022472205
3,GMn,7,Lachniet,xydy,False,1.1364,1.0073,0.026218505
3,GMn,7,Lachniet,xydy,False,1.2879,1.0319,0.023148218
3,GMn,7,Lachniet,xydy,False,1.4394,1.0228,0.021092416
3,GMn,7,Lachniet,xydy,False,1.5909,1.0127,0.020081086
3,GMn,7,Lachniet,xydy,False,1.7424,1.0136,0.020113677
3,GMn,7,Lachniet,xydy,False,1.8939,1.0167,0.02004894
3,GMn,7,Lachniet,xydy,False,2.0455,1.0,0.021982948
3,GMn,7,Lachniet,xydy,False,2.197,0.9919,0.022167769
3,GMn,7,Lachniet,xydy,False,2.3485,1.0016,0.022617692
3,GMn,7,Lachniet,xydy,False,2.5,1.0212,0.025040168
3,GMn,7,Lachniet,xydy,False,2.6515,1.0344,0.024507958
3,GMn,7,Lachniet,xydy,False,2.803,1.0012,0.023847222
3,GMn,7,Lachniet,xydy,False,2.9546,0.9954,0.024337009
3,GMn,7,Lachniet,xydy,False,3.1061,1.0019,0.025350345
3,GMn,7,Lachniet,xydy,False,3.2576,0.9779,0.025242028
3,GMn,7,Lachniet,xydy,False,3.4091,0.9967,0.026378779
3,GMn,7,Lachniet,xydy,False,3.5606,0.9918,0.025740241
3,GMn,7,Lachniet,xydy,False,3.7121,0.9742,0.027130979
3,GMn,7,Lachniet,xydy,False,3.8636,0.9791,0.029206164
3,GMn,7,Lachniet,xydy,False,4.0152,1.0285,0.030968371
3,GMn,7,Lachniet,xydy,False,4.1667,0.9193,0.031484123
3,GMn,7,Lachniet,xydy,False,4.3182,0.9079,0.033961154
3,GMn,7,Lachniet,xydy,False,4.4697,0.9903,0.042177719
3,GMn,7,Lachniet,xydy,False,4.6212,1.1074,0.099885985
3,GMn,7,Lachniet,xydy,False,4.7727,1.0921,0.13095053
