Energy(GeV), flux(numubar/m^{2}/P.O.T/GeV), err
17.8,4.24e-07,3.07e-08
17.9,4.39e-07,3.08e-08
18,4.68e-07,3.21e-08
18.1,4.22e-07,3.05e-08
18.2,3.95e-07,2.93e-08
18.2,4.27e-07,3.08e-08
18.4,4.45e-07,3.13e-08
18.5,3.77e-07,2.8e-08
18.6,3.26e-07,2.63e-08
18.7,3.83e-07,2.95e-08
18.8,3.85e-07,2.84e-08
18.9,3.4e-07,2.69e-08
19,3.45e-07,2.63e-08
19.1,3.55e-07,2.74e-08
19.2,3.56e-07,2.76e-08
19.3,2.99e-07,2.52e-08
19.4,3.36e-07,2.6e-08
19.5,3.31e-07,2.63e-08
19.6,2.84e-07,2.37e-08
19.7,3.13e-07,2.52e-08
19.8,2.99e-07,2.46e-08
19.9,3.23e-07,2.52e-08
20,3.38e-07,2.62e-08
20.1,3.17e-07,2.51e-08
20.2,2.66e-07,2.31e-08
20.3,3.29e-07,2.53e-08
20.4,2.96e-07,2.44e-08
20.5,2.51e-07,2.2e-08
20.6,2.72e-07,2.32e-08
20.7,2.81e-07,2.28e-08
20.8,3e-07,2.4e-08
20.9,2.33e-07,2.11e-08
21,2.35e-07,2.07e-08
21.1,2.36e-07,2.11e-08
21.2,2.53e-07,2.18e-08
21.3,2.36e-07,2.09e-08
21.4,2.45e-07,2.1e-08
21.5,2.46e-07,2.18e-08
21.6,2.65e-07,2.2e-08
21.7,2.08e-07,1.98e-08
21.8,2.19e-07,1.98e-08
21.9,2.16e-07,1.94e-08
22,2.1e-07,1.89e-08
22.1,2.28e-07,1.99e-08
22.2,2.29e-07,1.96e-08
22.3,2.32e-07,1.99e-08
22.4,2.54e-07,2.08e-08
22.5,2.21e-07,1.92e-08
22.6,1.97e-07,1.8e-08
22.7,1.78e-07,1.71e-08
22.8,2.03e-07,1.83e-08
22.9,1.73e-07,1.73e-08
23,2e-07,1.82e-08
23.1,1.89e-07,1.76e-08
23.2,2.26e-07,1.89e-08
23.3,1.95e-07,1.78e-08
23.4,1.51e-07,1.53e-08
23.5,1.41e-07,1.46e-08
23.6,1.95e-07,1.79e-08
23.7,1.75e-07,1.64e-08
23.8,1.64e-07,1.58e-08
23.9,1.49e-07,1.51e-08
24,1.54e-07,1.54e-08
24.1,1.54e-07,1.55e-08
24.2,1.48e-07,1.48e-08
24.3,1.83e-07,1.69e-08
24.4,1.53e-07,1.54e-08
24.5,1.14e-07,1.32e-08
24.6,1.37e-07,1.44e-08
24.7,1.39e-07,1.45e-08
24.8,1.34e-07,1.41e-08
24.9,1.39e-07,1.43e-08
25,1.44e-07,1.46e-08
25.1,1.33e-07,1.42e-08
25.2,1.34e-07,1.4e-08
25.3,1.29e-07,1.41e-08
25.4,1.63e-07,1.55e-08
25.5,1.35e-07,1.4e-08
25.6,1.26e-07,1.39e-08
25.7,1.41e-07,1.46e-08
25.8,1.24e-07,1.33e-08
25.9,1.06e-07,1.22e-08
26,1.35e-07,1.35e-08
26.1,1.22e-07,1.33e-08
26.2,1.12e-07,1.28e-08
26.3,1.29e-07,1.34e-08
26.4,1.07e-07,1.22e-08
26.5,1.12e-07,1.24e-08
26.6,1.02e-07,1.17e-08
26.7,9.51e-08,1.17e-08
26.8,9.65e-08,1.14e-08
26.9,1.03e-07,1.22e-08
27,8.24e-08,1.05e-08
27.1,6.86e-08,9.43e-09
27.2,1.01e-07,1.18e-08
27.3,1.21e-07,1.28e-08
27.4,9.44e-08,1.14e-08
27.5,8.13e-08,1.02e-08
27.6,8.48e-08,1.05e-08
27.7,8.72e-08,1.09e-08
27.8,6.26e-08,9.17e-09
27.9,7.04e-08,9.67e-09
28,7.47e-08,9.96e-09
28.1,8.07e-08,1.02e-08
28.2,8.27e-08,1.04e-08
28.3,8.32e-08,1.04e-08
28.4,6.41e-08,8.82e-09
28.5,9.03e-08,1.07e-08
28.6,6.11e-08,8.71e-09
28.7,8.25e-08,1.1e-08
28.8,7.58e-08,9.92e-09
28.9,7.37e-08,1e-08
29,6.06e-08,8.87e-09
29.1,7.95e-08,1.01e-08
29.2,7.06e-08,1.01e-08
29.3,7.63e-08,1.01e-08
29.4,7.41e-08,9.88e-09
29.5,6.61e-08,9.05e-09
29.6,5.85e-08,8.89e-09
29.7,8.17e-08,1e-08
29.8,5.59e-08,8.42e-09
29.9,6.14e-08,8.93e-09
30,6.04e-08,8.59e-09
30.1,5.75e-08,8.13e-09
30.2,5.7e-08,8.75e-09
30.3,6.56e-08,9.4e-09
30.4,4.53e-08,7.51e-09
30.5,6.1e-08,8.85e-09
30.6,5.7e-08,8.41e-09
30.7,5.8e-08,8.64e-09
30.8,6.2e-08,8.76e-09
30.9,6.47e-08,8.79e-09
31,4.85e-08,7.49e-09
31.1,5.68e-08,8.26e-09
31.2,4.39e-08,7.59e-09
31.3,5.82e-08,8.16e-09
31.4,3.24e-08,6.08e-09
31.5,4.4e-08,7.09e-09
31.6,5.71e-08,8.4e-09
31.7,4.47e-08,7.24e-09
31.8,6.48e-08,9.19e-09
31.9,5.82e-08,8.63e-09
32,4.74e-08,7.51e-09
32,6.01e-08,8.74e-09
32.1,3.94e-08,6.84e-09
32.2,5.65e-08,8.38e-09
32.4,4.21e-08,7.2e-09
32.4,4.81e-08,7.49e-09
32.5,5.34e-08,8.17e-09
32.6,3.97e-08,6.55e-09
32.8,5.19e-08,7.88e-09
32.9,4.62e-08,7.43e-09
32.9,3.52e-08,6.24e-09
33,3.57e-08,6.24e-09
33.1,4.39e-08,7.43e-09
33.2,3.43e-08,6.1e-09
33.4,4.17e-08,6.94e-09
33.4,4.32e-08,8.02e-09
33.5,4.52e-08,7.41e-09
33.6,3.02e-08,6.11e-09
33.8,2.92e-08,5.78e-09
33.9,3.72e-08,6.73e-09
33.9,4.41e-08,7.04e-09
34,2.89e-08,5.84e-09
34.1,3.02e-08,6.03e-09
34.2,3.24e-08,6.01e-09
34.4,3.4e-08,6.66e-09
34.4,3.66e-08,6.41e-09
34.5,3.91e-08,7.3e-09
34.6,4.32e-08,7.39e-09
34.8,3.95e-08,6.71e-09
34.9,3.48e-08,6.12e-09
34.9,3.39e-08,6.37e-09
35,2.83e-08,5.63e-09
35.1,2.65e-08,5.35e-09
35.2,2.46e-08,5.22e-09
35.4,5.15e-08,7.82e-09
35.4,2.5e-08,5.5e-09
35.5,2.31e-08,5.06e-09
35.6,2.38e-08,5.35e-09
35.8,2.55e-08,5.41e-09
35.9,2.69e-08,5.48e-09
35.9,2.6e-08,5.21e-09
36,2.77e-08,5.62e-09
36.1,2.44e-08,5.02e-09
36.2,2.67e-08,5.19e-09
36.4,2.31e-08,4.99e-09
36.4,1.95e-08,4.55e-09
36.5,2.4e-08,5.05e-09
36.6,2.06e-08,4.28e-09
36.8,2.27e-08,4.72e-09
36.9,2.31e-08,4.68e-09
36.9,1.39e-08,3.71e-09
37,2.01e-08,4.55e-09
37.1,3.11e-08,6.16e-09
37.2,1.82e-08,4.3e-09
37.4,1.97e-08,4.55e-09
